295,489,226,0.000498
623,489,1116,0.000737
624,489,226,0.000498
2,169,23,0.000250
214,169,232,0.000163
5,23,186,0.000108
32,23,232,0.000166
1289,23,1015,0.001910
3,1156,49,0.000465
4,1156,151,0.006767
1478,1156,347,0.000866
1479,1156,40,0.000928
1444,49,1128,0.000450
187,151,1227,0.000065
495,151,385,0.000515
236,186,1015,0.001833
1333,186,1049,0.000143
10,4,746,0.000855
11,4,639,0.000542
14,7,663,0.001748
15,7,72,0.000278
1013,1249,788,0.000619
1610,1249,615,0.000928
1050,1240,820,0.000274
1598,1240,1032,0.000282
824,746,639,0.000852
956,746,650,0.000876
12,549,5,0.000752
707,549,133,0.002218
1550,549,1207,0.001175
719,5,559,0.001241
13,611,6,0.000369
793,611,957,0.000937
899,6,702,0.001988
1311,6,1032,0.000264
853,663,812,0.000424
854,663,16,0.001635
91,72,902,0.000504
16,571,8,0.000173
733,571,821,0.000137
1408,571,1103,0.001859
387,8,301,0.001226
17,389,11,0.000774
500,389,307,0.000309
525,11,407,0.000783
23,1159,17,0.000656
1483,1159,562,0.000394
19,229,13,0.000296
299,229,228,0.005642
195,13,156,0.000579
1477,13,1155,0.005740
20,682,14,0.000600
875,682,508,0.000253
1558,682,1214,0.000675
71,14,54,0.000696
21,452,15,0.000741
576,452,999,0.000290
1089,15,852,0.000436
22,338,16,0.000734
415,338,323,0.000470
437,338,1122,0.000307
438,338,436,0.001964
416,16,323,0.000541
910,17,711,0.000567
25,769,18,0.000397
33,769,24,0.000243
989,769,1000,0.000077
671,18,522,0.000064
27,557,19,0.000415
716,557,1101,0.000483
1433,557,1122,0.000494
28,19,120,0.000319
1327,19,1043,0.000545
1434,19,1122,0.000438
148,120,67,0.000354
1326,120,1043,0.000714
29,706,21,0.001366
905,706,423,0.000793
740,21,576,0.001231
30,1112,22,0.001338
1011,1112,786,0.000749
1421,1112,754,0.003175
1548,22,1205,0.000118
302,232,1049,0.000117
225,24,177,0.000075
34,306,25,0.000460
395,306,139,0.000578
35,25,257,0.000188
1354,25,1066,0.000607
334,257,391,0.000497
424,257,329,0.000345
36,1091,26,0.000573
518,1091,402,0.001735
1392,1091,942,0.000618
37,26,1071,0.000488
455,26,349,0.002358
1361,1071,947,0.000962
1362,1071,305,0.000293
38,476,27,0.001128
607,476,388,0.000897
608,476,143,0.000914
1148,476,898,0.001642
39,27,86,0.001017
1286,27,1014,0.001145
1492,27,1164,0.001605
108,86,1020,0.001124
1358,86,1069,0.000331
40,700,28,0.000417
897,700,98,0.000313
1164,700,911,0.000547
41,28,243,0.000327
680,28,527,0.000291
771,28,597,0.000202
313,243,831,0.000377
314,243,597,0.000190
668,243,521,0.000291
44,357,32,0.000053
463,357,1145,0.000505
1091,357,853,0.000117
775,32,600,0.000173
1163,32,910,0.000103
45,1133,34,0.000211
619,1133,486,0.000300
1451,1133,1125,0.001456
1582,34,1228,0.001486
1601,34,1243,0.000742
46,238,35,0.000153
307,238,461,0.000197
308,238,459,0.000133
1391,35,1090,0.000049
1226,963,296,0.002679
1334,963,1050,0.002072
49,1232,37,0.000139
1586,1232,551,0.000207
1604,1232,1246,0.000362
50,37,975,0.000631
1505,37,1174,0.000092
1219,975,956,0.000197
1241,975,667,0.000230
51,88,38,0.002251
111,88,747,0.001231
112,88,516,0.000300
52,38,81,0.000790
1177,38,920,0.001023
102,81,150,0.000152
53,570,39,0.000147
732,570,176,0.000580
1078,570,841,0.000238
861,39,669,0.000204
54,1166,40,0.000111
1494,1166,1198,0.001774
56,987,42,0.000685
502,987,391,0.000529
1256,987,765,0.000661
1217,42,954,0.000546
58,916,43,0.000184
973,916,757,0.000630
1172,916,234,0.000276
59,43,528,0.000414
429,43,332,0.000656
428,528,332,0.000422
681,528,246,0.000071
60,819,44,0.000838
1047,819,637,0.000223
1048,819,537,0.000333
1049,819,490,0.001738
153,44,124,0.000500
61,716,45,0.003865
916,716,985,0.003906
917,716,408,0.001234
1253,45,985,0.000065
593,465,816,0.000203
1315,465,1035,0.000041
514,399,1219,0.002360
515,399,282,0.000741
65,998,48,0.000565
749,998,585,0.000874
1268,998,581,0.000677
595,48,467,0.000666
67,1202,51,0.000088
1544,1202,794,0.000205
756,51,588,0.000034
68,404,52,0.000679
520,404,703,0.000098
521,404,596,0.000690
901,52,703,0.000725
69,96,53,0.000158
119,96,1134,0.000072
90,53,71,0.000095
233,53,183,0.000920
70,1081,54,0.001859
254,1081,199,0.000299
1376,1081,1117,0.001366
1377,1081,907,0.000081
881,54,687,0.001027
72,689,55,0.000262
883,689,669,0.000309
604,55,474,0.000305
73,271,56,0.000229
353,271,1100,0.000374
354,271,56,0.000229
271,56,210,0.000344
74,487,57,0.001450
620,487,599,0.003286
621,487,483,0.000854
799,57,616,0.004407
75,925,58,0.000464
1184,925,563,0.000048
1557,58,1213,0.000012
76,772,60,0.000928
992,772,417,0.000039
384,60,298,0.000226
1207,60,948,0.000166
77,713,61,0.001249
